mp_name,gender, constit,rating,rating_democracy_total,mp_img
"Giles Watling MP","0","Clacton","-50.5675","30","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/125322.jpg.jpg"
"Martin Vickers MP","0","Cleethorpes","-38.1258","33","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/40371.jpg.jpg"
"Susan Elan Jones MP","1","Clwyd South","52.9692","-22","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/83418.jpg.jpg"
"Rt Hon David Jones MP","0","Clwyd West","-43.485","34","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/31694.jpg.jpg"
"Hugh Gaffney MP","0","Coatbridge, Chryston and Bellshill","-155.661","-22","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/142977.jpg.jpg"
"Will Quince MP","0","Colchester","80.9688","29","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/77098.jpg.jpg"
"Thelma Walker MP","1","Colne Valley","-124.454","-20","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/148143.jpg.jpg"
"Fiona Bruce MP","1","Congleton","42.095","26","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/35510.jpg.jpg"
"Trudy Harrison MP","1","Copeland","245.369","24","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/147214.jpg.jpg"
"Tom Pursglove MP","0","Corby","191.752","32","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/101628.jpg.jpg"
"Scott Mann MP","0","North Cornwall","111.585","29","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/106116.jpg.jpg"
"Mrs Sheryll Murray MP","1","South East Cornwall","-144.939","32","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/62747.jpg.jpg"
"Sir Geoffrey Clifton-Brown MP","0","The Cotswolds","-221.23","29","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/25708.jpg.jpg"
"Colleen Fletcher MP","1","Coventry North East","-10.6478","-18","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/109467.jpg.jpg"
"Mr Geoffrey Robinson MP","0","Coventry North West","-209.796","-19","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/25201.jpg.jpg"
"Mr Jim Cunningham MP","0","Coventry South","-63.8137","-16","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/25575.jpg.jpg"
"Henry Smith MP","0","Crawley","26.8742","33","https://assets3.parliament.uk/ext/mnis-bio-person/www.dodspeople.com/photos/35320.jpg.jpg"
